
 viewer_countyname | factsk             | age_group_desc | dim_dayofweek | dim_month | dim_partname                  | dim_year | dimdate    | dimpartsk          | part_countyname | partsk             | viewersk           | vote | votecategory | votecost                                                 | votedate   | votemode
            Galway | 100594758472620707 |            >50 |             1 |         1 |                    Noah Wiley |     2019 | 2019-01-06 | 100594758472613919 |          Galway | 100594758472613919 | 100594758472614026 |    2 |     Audience |                                                        1 | 2019-01-06 |     Phone
            Galway | 100594758472620708 |            >50 |             1 |         1 |     The Jeremiah Simmons Band |     2016 | 2016-01-03 | 100594758472613922 |          Galway | 100594758472613922 | 100594758472614026 |    5 |     Audience |                                                      0.5 | 2016-01-03 | Instagram
            Galway | 100594758472620709 |            >50 |             1 |         1 |                   Ian Johnson |     2018 | 2018-01-07 | 100594758472613924 |            Mayo | 100594758472613924 | 100594758472614026 |    2 |     Audience |                                                      0.5 | 2018-01-07 | Instagram
            Galway | 100594758472620710 |            >50 |             1 |         1 |    The Thomas Willis MD Combo |     2022 | 2022-01-02 | 100594758472613932 |           Kerry | 100594758472613932 | 100594758472614026 |    1 |     Audience |                                                        1 | 2022-01-02 |     Phone
            Galway | 100594758472620711 |            >50 |             1 |         1 |                   Howard Rice |     2014 | 2014-01-05 | 100594758472613953 |       Roscommon | 100594758472613953 | 100594758472614026 |    1 |     Audience | 0.200000000000000011102230246251565404236316680908203125 | 2014-01-05 | Instagram
            Galway | 100594758472621387 |            >50 |             1 |         1 |              Michael Marshall |     2018 | 2018-01-07 | 100594758472613914 |            Cork | 100594758472613914 | 100594758472614171 |    2 |     Audience |                                                      0.5 | 2018-01-07 |  Facebook
            Galway | 100594758472621388 |            >50 |             1 |         1 |      The Vanessa Parker Group |     2017 | 2017-01-01 | 100594758472613923 |          Galway | 100594758472613923 | 100594758472614171 |    1 |     Audience |                                                      0.5 | 2017-01-01 | Instagram
            Galway | 100594758472621389 |            >50 |             1 |         1 |            Christopher Obrien |     2022 | 2022-01-02 | 100594758472613949 |        Limerick | 100594758472613949 | 100594758472614171 |    2 |     Audience |                                                        1 | 2022-01-02 |        TV
            Galway | 100594758472621390 |            >50 |             1 |         1 |                   Howard Rice |     2014 | 2014-01-05 | 100594758472613953 |       Roscommon | 100594758472613953 | 100594758472614171 |    2 |     Audience | 0.200000000000000011102230246251565404236316680908203125 | 2014-01-05 |     Phone
            Galway | 100594758472621391 |            >50 |             1 |         1 |              Mrs. Joy Herrera |     2016 | 2016-01-03 | 100594758472613991 |       Westmeath | 100594758472613991 | 100594758472614171 |    1 |     Audience |                                                        1 | 2016-01-03 |     Phone
            Galway | 100594758472621441 |            >50 |             1 |         1 |                  Renee Burton |     2013 | 2013-01-06 | 100594758472613920 |          Galway | 100594758472613920 | 100594758472614181 |    4 |     Audience | 0.200000000000000011102230246251565404236316680908203125 | 2013-01-06 | Instagram
            Galway | 100594758472621442 |            >50 |             1 |         1 |     The Jeremiah Simmons Band |     2016 | 2016-01-03 | 100594758472613922 |          Galway | 100594758472613922 | 100594758472614181 |    5 |     Audience |                                                        1 | 2016-01-03 |        TV
            Galway | 100594758472621443 |            >50 |             1 |         1 |            Christopher Obrien |     2022 | 2022-01-02 | 100594758472613949 |        Limerick | 100594758472613949 | 100594758472614181 |    1 |     Audience |                                                      0.5 | 2022-01-02 | Instagram
            Galway | 100594758472625824 |            >50 |             1 |         1 |                  Renee Burton |     2013 | 2013-01-06 | 100594758472613920 |          Galway | 100594758472613920 | 100594758472614756 |    2 |         Jury | 0.200000000000000011102230246251565404236316680908203125 | 2013-01-06 |  Facebook
            Galway | 100594758472625825 |            >50 |             1 |         1 |                Catherine Mack |     2015 | 2015-01-04 | 100594758472613938 |           Clare | 100594758472613938 | 100594758472614756 |    2 |         Jury | 0.200000000000000011102230246251565404236316680908203125 | 2015-01-04 |  Facebook
            Galway | 100594758472625826 |            >50 |             1 |         1 |      The Joseph Roberts Combo |     2017 | 2017-01-01 | 100594758472613945 |          Tyrone | 100594758472613945 | 100594758472614756 |    1 |         Jury |                                                      0.5 | 2017-01-01 | Instagram
            Galway | 100594758472625827 |            >50 |             1 |         1 |                  Cindy Hardin |     2019 | 2019-01-06 | 100594758472613947 |          Antrim | 100594758472613947 | 100594758472614756 |    4 |         Jury |                                                        1 | 2019-01-06 |     Phone
            Galway | 100594758472625828 |            >50 |             1 |         1 |                 Nathan Ortega |     2021 | 2021-01-03 | 100594758472613982 |           Cavan | 100594758472613982 | 100594758472614756 |    1 |         Jury |                                                        1 | 2021-01-03 |        TV
            Galway | 100594758472625897 |            >50 |             1 |         1 |                Laura Mitchell |     2021 | 2021-01-03 | 100594758472613936 |       Tipperary | 100594758472613936 | 100594758472614773 |    1 |         Jury |                                                      0.5 | 2021-01-03 |  Facebook
            Galway | 100594758472625898 |            >50 |             1 |         1 |                   David Young |     2013 | 2013-01-06 | 100594758472613939 |           Clare | 100594758472613939 | 100594758472614773 |    5 |         Jury | 0.200000000000000011102230246251565404236316680908203125 | 2013-01-06 |  Facebook
            Galway | 100594758472626095 |            >50 |             1 |         1 |               Anthony Jimenez |     2016 | 2016-01-03 | 100594758472613916 |          Galway | 100594758472613916 | 100594758472614819 |    5 |         Jury |                                                        1 | 2016-01-03 |     Phone
            Galway | 100594758472626096 |            >50 |             1 |         1 |                  Audrey Perez |     2015 | 2015-01-04 | 100594758472613942 |          Tyrone | 100594758472613942 | 100594758472614819 |    3 |         Jury |                                                      0.5 | 2015-01-04 |        TV
            Galway | 100594758472626097 |            >50 |             1 |         1 |      The Joseph Burnett Group |     2013 | 2013-01-06 | 100594758472613951 |        Limerick | 100594758472613951 | 100594758472614819 |    2 |         Jury |                                                      0.5 | 2013-01-06 |        TV
            Galway | 100594758472626098 |            >50 |             1 |         1 |                   Howard Rice |     2014 | 2014-01-05 | 100594758472613953 |       Roscommon | 100594758472613953 | 100594758472614819 |    5 |         Jury | 0.200000000000000011102230246251565404236316680908203125 | 2014-01-05 |  Facebook
            Galway | 100594758472626099 |            >50 |             1 |         1 |         The Ann Salazar Group |     2017 | 2017-01-01 | 100594758472613965 |           Derry | 100594758472613965 | 100594758472614819 |    2 |         Jury |                                                        1 | 2017-01-01 |        TV
            Galway | 100594758472626100 |            >50 |             1 |         1 |                     Amy Smith |     2018 | 2018-01-07 | 100594758472613969 |         Wicklow | 100594758472613969 | 100594758472614819 |    3 |         Jury |                                                        1 | 2018-01-07 |     Phone
            Galway | 100594758472626101 |            >50 |             1 |         1 |                  David Abbott |     2020 | 2020-01-05 | 100594758472613984 |       Waterford | 100594758472613984 | 100594758472614819 |    3 |         Jury |                                                      0.5 | 2020-01-05 | Instagram
            Galway | 100594758472627452 |            >50 |             1 |         1 |                   Sharon Sims |     2016 | 2016-01-03 | 100594758472613925 |            Mayo | 100594758472613925 | 100594758472614756 |    2 |     Audience |                                                        1 | 2016-01-03 |        TV
            Galway | 100594758472627453 |            >50 |             1 |         1 |                 Patrick Hicks |     2020 | 2020-01-05 | 100594758472613928 |         Donegal | 100594758472613928 | 100594758472614756 |    1 |     Audience |                                                        1 | 2020-01-05 |     Phone
            Galway | 100594758472627454 |            >50 |             1 |         1 |             Stephanie Jimenez |     2022 | 2022-01-02 | 100594758472613931 |           Kerry | 100594758472613931 | 100594758472614756 |    4 |     Audience |                                                        1 | 2022-01-02 |        TV
            Galway | 100594758472627455 |            >50 |             1 |         1 |        The Kevin Dillon Group |     2014 | 2014-01-05 | 100594758472613968 |        Kilkenny | 100594758472613968 | 100594758472614756 |    4 |     Audience | 0.200000000000000011102230246251565404236316680908203125 | 2014-01-05 | Instagram
            Galway | 100594758472627536 |            >50 |             1 |         1 |                Benjamin Perez |     2018 | 2018-01-07 | 100594758472613926 |         Donegal | 100594758472613926 | 100594758472614773 |    5 |     Audience |                                                      0.5 | 2018-01-07 |  Facebook
            Galway | 100594758472627537 |            >50 |             1 |         1 |             Elizabeth Fischer |     2019 | 2019-01-06 | 100594758472613927 |         Donegal | 100594758472613927 | 100594758472614773 |    2 |     Audience |                                                        1 | 2019-01-06 |        TV
            Galway | 100594758472627538 |            >50 |             1 |         1 |             Stephanie Jimenez |     2022 | 2022-01-02 | 100594758472613931 |           Kerry | 100594758472613931 | 100594758472614773 |    4 |     Audience |                                                      0.5 | 2022-01-02 |  Facebook
            Galway | 100594758472627539 |            >50 |             1 |         1 |      The Joseph Roberts Combo |     2017 | 2017-01-01 | 100594758472613945 |          Tyrone | 100594758472613945 | 100594758472614773 |    3 |     Audience |                                                        1 | 2017-01-01 |        TV
            Galway | 100594758472627540 |            >50 |             1 |         1 |             Nicholas Santiago |     2016 | 2016-01-03 | 100594758472613963 |           Meath | 100594758472613963 | 100594758472614773 |    3 |     Audience |                                                        1 | 2016-01-03 |     Phone
            Galway | 100594758472627541 |            >50 |             1 |         1 |                Michael Warren |     2014 | 2014-01-05 | 100594758472613967 |        Kilkenny | 100594758472613967 | 100594758472614773 |    3 |     Audience |                                                      0.5 | 2014-01-05 |        TV
            Galway | 100594758472627542 |            >50 |             1 |         1 |            Franklin Singleton |     2015 | 2015-01-04 | 100594758472613975 |          Offaly | 100594758472613975 | 100594758472614773 |    1 |     Audience | 0.200000000000000011102230246251565404236316680908203125 | 2015-01-04 |  Facebook
            Galway | 100594758472627543 |            >50 |             1 |         1 |                  David Abbott |     2020 | 2020-01-05 | 100594758472613984 |       Waterford | 100594758472613984 | 100594758472614773 |    3 |     Audience |                                                      0.5 | 2020-01-05 |  Facebook
            Galway | 100594758472627776 |            >50 |             1 |         1 |                    Noah Wiley |     2019 | 2019-01-06 | 100594758472613919 |          Galway | 100594758472613919 | 100594758472614819 |    3 |     Audience |                                                        1 | 2019-01-06 |        TV
            Galway | 100594758472627777 |            >50 |             1 |         1 |            Christopher Obrien |     2022 | 2022-01-02 | 100594758472613949 |        Limerick | 100594758472613949 | 100594758472614819 |    2 |     Audience |                                                      0.5 | 2022-01-02 |  Facebook
            Galway | 100594758472627778 |            >50 |             1 |         1 |            The Erica Kim Band |     2021 | 2021-01-03 | 100594758472613979 |          Offaly | 100594758472613979 | 100594758472614819 |    4 |     Audience |                                                        1 | 2021-01-03 |        TV
            Galway | 100594758472629308 |            >50 |             1 |         1 |                    Cindy Hill |     2015 | 2015-01-04 | 100594758472613913 |            Cork | 100594758472613913 | 100594758472615146 |    2 |         Jury | 0.200000000000000011102230246251565404236316680908203125 | 2015-01-04 | Instagram
            Galway | 100594758472629309 |            >50 |             1 |         1 |                   Scott Craig |     2014 | 2014-01-05 | 100594758472613929 |         Donegal | 100594758472613929 | 100594758472615146 |    2 |         Jury | 0.200000000000000011102230246251565404236316680908203125 | 2014-01-05 |  Facebook
            Galway | 100594758472629310 |            >50 |             1 |         1 |                Laura Mitchell |     2021 | 2021-01-03 | 100594758472613936 |       Tipperary | 100594758472613936 | 100594758472615146 |    1 |         Jury |                                                        1 | 2021-01-03 |     Phone
            Galway | 100594758472629311 |            >50 |             1 |         1 |                   David Young |     2013 | 2013-01-06 | 100594758472613939 |           Clare | 100594758472613939 | 100594758472615146 |    3 |         Jury | 0.200000000000000011102230246251565404236316680908203125 | 2013-01-06 |  Facebook
            Galway | 100594758472629312 |            >50 |             1 |         1 |             Alexandra Parsons |     2018 | 2018-01-07 | 100594758472613946 |          Antrim | 100594758472613946 | 100594758472615146 |    4 |         Jury |                                                        1 | 2018-01-07 |        TV
            Galway | 100594758472629313 |            >50 |             1 |         1 |          The Bobby Kelly Band |     2017 | 2017-01-01 | 100594758472613948 |          Antrim | 100594758472613948 | 100594758472615146 |    1 |         Jury |                                                        1 | 2017-01-01 |        TV
            Galway | 100594758472629314 |            >50 |             1 |         1 |                Jessica Jordan |     2019 | 2019-01-06 | 100594758472613980 |           Cavan | 100594758472613980 | 100594758472615146 |    4 |         Jury |                                                        1 | 2019-01-06 |        TV
            Galway | 100594758472629315 |            >50 |             1 |         1 |                  David Abbott |     2020 | 2020-01-05 | 100594758472613984 |       Waterford | 100594758472613984 | 100594758472615146 |    2 |         Jury |                                                      0.5 | 2020-01-05 |  Facebook
            Galway | 100594758472629907 |            >50 |             1 |         1 |               Anthony Jimenez |     2016 | 2016-01-03 | 100594758472613916 |          Galway | 100594758472613916 | 100594758472615268 |    1 |         Jury |                                                        1 | 2016-01-03 |        TV
            Galway | 100594758472629908 |            >50 |             1 |         1 |             Stephanie Jimenez |     2022 | 2022-01-02 | 100594758472613931 |           Kerry | 100594758472613931 | 100594758472615268 |    5 |         Jury |                                                        1 | 2022-01-02 |        TV
            Galway | 100594758472629909 |            >50 |             1 |         1 |                Denise Francis |     2013 | 2013-01-06 | 100594758472613934 |       Tipperary | 100594758472613934 | 100594758472615268 |    3 |         Jury | 0.200000000000000011102230246251565404236316680908203125 | 2013-01-06 | Instagram
            Galway | 100594758472629910 |            >50 |             1 |         1 |                     Amy Smith |     2018 | 2018-01-07 | 100594758472613969 |         Wicklow | 100594758472613969 | 100594758472615268 |    1 |         Jury |                                                      0.5 | 2018-01-07 | Instagram
            Galway | 100594758472630284 |            >50 |             1 |         1 |                    April Page |     2017 | 2017-01-01 | 100594758472613912 |            Cork | 100594758472613912 | 100594758472615349 |    1 |         Jury |                                                        1 | 2017-01-01 |     Phone
            Galway | 100594758472630285 |            >50 |             1 |         1 |       The Cody Stafford Group |     2021 | 2021-01-03 | 100594758472613915 |            Cork | 100594758472613915 | 100594758472615349 |    4 |         Jury |                                                      0.5 | 2021-01-03 | Instagram
            Galway | 100594758472630286 |            >50 |             1 |         1 |             Elizabeth Fischer |     2019 | 2019-01-06 | 100594758472613927 |         Donegal | 100594758472613927 | 100594758472615349 |    4 |         Jury |                                                      0.5 | 2019-01-06 |  Facebook
            Galway | 100594758472630287 |            >50 |             1 |         1 |      The Jennifer Irwin Group |     2022 | 2022-01-02 | 100594758472613956 |       Roscommon | 100594758472613956 | 100594758472615349 |    5 |         Jury |                                                        1 | 2022-01-02 |        TV
            Galway | 100594758472630500 |            >50 |             1 |         1 |                   Ian Johnson |     2018 | 2018-01-07 | 100594758472613924 |            Mayo | 100594758472613924 | 100594758472615393 |    4 |         Jury |                                                        1 | 2018-01-07 |     Phone
            Galway | 100594758472630501 |            >50 |             1 |         1 |                Laura Mitchell |     2021 | 2021-01-03 | 100594758472613936 |       Tipperary | 100594758472613936 | 100594758472615393 |    3 |         Jury |                                                      0.5 | 2021-01-03 |  Facebook
            Galway | 100594758472630502 |            >50 |             1 |         1 |              William Thompson |     2017 | 2017-01-01 | 100594758472613941 |           Clare | 100594758472613941 | 100594758472615393 |    4 |         Jury |                                                        1 | 2017-01-01 |        TV
            Galway | 100594758472630503 |            >50 |             1 |         1 |                 Tracy Edwards |     2014 | 2014-01-05 | 100594758472613966 |           Derry | 100594758472613966 | 100594758472615393 |    4 |         Jury | 0.200000000000000011102230246251565404236316680908203125 | 2014-01-05 |  Facebook
            Galway | 100594758472630977 |            >50 |             1 |         1 |                   Sharon Sims |     2016 | 2016-01-03 | 100594758472613925 |            Mayo | 100594758472613925 | 100594758472615146 |    5 |     Audience |                                                        1 | 2016-01-03 |     Phone
            Galway | 100594758472630978 |            >50 |             1 |         1 |      The Jennifer Irwin Group |     2022 | 2022-01-02 | 100594758472613956 |       Roscommon | 100594758472613956 | 100594758472615146 |    5 |     Audience |                                                      0.5 | 2022-01-02 |  Facebook
            Galway | 100594758472631533 |            >50 |             1 |         1 |             Elizabeth Fischer |     2019 | 2019-01-06 | 100594758472613927 |         Donegal | 100594758472613927 | 100594758472615268 |    5 |     Audience |                                                        1 | 2019-01-06 |        TV
            Galway | 100594758472631534 |            >50 |             1 |         1 |      The Robert Carey II Band |     2015 | 2015-01-04 | 100594758472613962 |            Down | 100594758472613962 | 100594758472615268 |    1 |     Audience | 0.200000000000000011102230246251565404236316680908203125 | 2015-01-04 |  Facebook
            Galway | 100594758472631535 |            >50 |             1 |         1 |                 Andrew Hanson |     2017 | 2017-01-01 | 100594758472613964 |           Derry | 100594758472613964 | 100594758472615268 |    1 |     Audience |                                                      0.5 | 2017-01-01 | Instagram
            Galway | 100594758472631536 |            >50 |             1 |         1 |                 Tracy Edwards |     2014 | 2014-01-05 | 100594758472613966 |           Derry | 100594758472613966 | 100594758472615268 |    1 |     Audience | 0.200000000000000011102230246251565404236316680908203125 | 2014-01-05 |  Facebook
            Galway | 100594758472631537 |            >50 |             1 |         1 |            The Erica Kim Band |     2021 | 2021-01-03 | 100594758472613979 |          Offaly | 100594758472613979 | 100594758472615268 |    5 |     Audience |                                                        1 | 2021-01-03 |     Phone
            Galway | 100594758472631538 |            >50 |             1 |         1 |                    Ellen Ross |     2020 | 2020-01-05 | 100594758472613995 |           Laois | 100594758472613995 | 100594758472615268 |    4 |     Audience |                                                        1 | 2020-01-05 |        TV
            Galway | 100594758472631921 |            >50 |             1 |         1 |          Matthew Villegas Jr. |     2013 | 2013-01-06 | 100594758472613918 |          Galway | 100594758472613918 | 100594758472615349 |    3 |     Audience | 0.200000000000000011102230246251565404236316680908203125 | 2013-01-06 |  Facebook
            Galway | 100594758472631922 |            >50 |             1 |         1 |                   Sharon Sims |     2016 | 2016-01-03 | 100594758472613925 |            Mayo | 100594758472613925 | 100594758472615349 |    4 |     Audience |                                                      0.5 | 2016-01-03 | Instagram
            Galway | 100594758472631923 |            >50 |             1 |         1 |                 Patrick Hicks |     2020 | 2020-01-05 | 100594758472613928 |         Donegal | 100594758472613928 | 100594758472615349 |    5 |     Audience |                                                      0.5 | 2020-01-05 | Instagram
            Galway | 100594758472631924 |            >50 |             1 |         1 |                   Scott Craig |     2014 | 2014-01-05 | 100594758472613929 |         Donegal | 100594758472613929 | 100594758472615349 |    1 |     Audience | 0.200000000000000011102230246251565404236316680908203125 | 2014-01-05 | Instagram
            Galway | 100594758472631925 |            >50 |             1 |         1 |                  Andrea Moran |     2015 | 2015-01-04 | 100594758472613933 |       Tipperary | 100594758472613933 | 100594758472615349 |    2 |     Audience | 0.200000000000000011102230246251565404236316680908203125 | 2015-01-04 |     Phone
            Galway | 100594758472631926 |            >50 |             1 |         1 |                     Amy Smith |     2018 | 2018-01-07 | 100594758472613969 |         Wicklow | 100594758472613969 | 100594758472615349 |    5 |     Audience |                                                        1 | 2018-01-07 |     Phone
            Galway | 100594758472632117 |            >50 |             1 |         1 |               Anthony Jimenez |     2016 | 2016-01-03 | 100594758472613916 |          Galway | 100594758472613916 | 100594758472615393 |    4 |     Audience |                                                        1 | 2016-01-03 |        TV
            Galway | 100594758472632118 |            >50 |             1 |         1 |          Matthew Villegas Jr. |     2013 | 2013-01-06 | 100594758472613918 |          Galway | 100594758472613918 | 100594758472615393 |    1 |     Audience | 0.200000000000000011102230246251565404236316680908203125 | 2013-01-06 |     Phone

 viewer_countyname | factsk             | age_group_desc | dim_dayofweek | dim_month | dim_partname                  | dim_year | dimdate    | dimpartsk          | part_countyname | partsk             | viewersk           | vote | votecategory | votecost                                                 | votedate   | votemode
-------------------+--------------------+----------------+---------------+-----------+-------------------------------+----------+------------+--------------------+-----------------+--------------------+--------------------+------+--------------+----------------------------------------------------------+------------+-----------
            Galway | 100594758472632119 |            >50 |             1 |         1 |                Kaitlyn Thomas |     2019 | 2019-01-06 | 100594758472613943 |          Tyrone | 100594758472613943 | 100594758472615393 |    5 |     Audience |                                                        1 | 2019-01-06 |        TV
            Galway | 100594758472632120 |            >50 |             1 |         1 |      The Jennifer Irwin Group |     2022 | 2022-01-02 | 100594758472613956 |       Roscommon | 100594758472613956 | 100594758472615393 |    1 |     Audience |                                                      0.5 | 2022-01-02 | Instagram
            Galway | 100594758472632121 |            >50 |             1 |         1 |      The Robert Carey II Band |     2015 | 2015-01-04 | 100594758472613962 |            Down | 100594758472613962 | 100594758472615393 |    2 |     Audience | 0.200000000000000011102230246251565404236316680908203125 | 2015-01-04 | Instagram
            Galway | 100594758472632606 |            >50 |             1 |         1 |                    April Page |     2017 | 2017-01-01 | 100594758472613912 |            Cork | 100594758472613912 | 100594758472615490 |    4 |         Jury |                                                        1 | 2017-01-01 |        TV
            Galway | 100594758472632607 |            >50 |             1 |         1 |     The Jeremiah Simmons Band |     2016 | 2016-01-03 | 100594758472613922 |          Galway | 100594758472613922 | 100594758472615490 |    2 |         Jury |                                                        1 | 2016-01-03 |     Phone
            Galway | 100594758472632608 |            >50 |             1 |         1 |                 Patrick Hicks |     2020 | 2020-01-05 | 100594758472613928 |         Donegal | 100594758472613928 | 100594758472615490 |    1 |         Jury |                                                        1 | 2020-01-05 |     Phone
            Galway | 100594758472632609 |            >50 |             1 |         1 |                  Andrea Moran |     2015 | 2015-01-04 | 100594758472613933 |       Tipperary | 100594758472613933 | 100594758472615490 |    2 |         Jury | 0.200000000000000011102230246251565404236316680908203125 | 2015-01-04 |     Phone
            Galway | 100594758472632610 |            >50 |             1 |         1 |                Laura Mitchell |     2021 | 2021-01-03 | 100594758472613936 |       Tipperary | 100594758472613936 | 100594758472615490 |    4 |         Jury |                                                        1 | 2021-01-03 |        TV
            Galway | 100594758472632611 |            >50 |             1 |         1 |              Jennifer Hendrix |     2019 | 2019-01-06 | 100594758472613958 |            Down | 100594758472613958 | 100594758472615490 |    4 |         Jury |                                                      0.5 | 2019-01-06 |  Facebook
            Galway | 100594758472632721 |            >50 |             1 |         1 |             Elizabeth Fischer |     2019 | 2019-01-06 | 100594758472613927 |         Donegal | 100594758472613927 | 100594758472615511 |    2 |         Jury |                                                      0.5 | 2019-01-06 | Instagram
            Galway | 100594758472632722 |            >50 |             1 |         1 |                  Andrea Moran |     2015 | 2015-01-04 | 100594758472613933 |       Tipperary | 100594758472613933 | 100594758472615511 |    3 |         Jury | 0.200000000000000011102230246251565404236316680908203125 | 2015-01-04 |     Phone
            Galway | 100594758472632723 |            >50 |             1 |         1 |                Laura Mitchell |     2021 | 2021-01-03 | 100594758472613936 |       Tipperary | 100594758472613936 | 100594758472615511 |    4 |         Jury |                                                      0.5 | 2021-01-03 |  Facebook
            Galway | 100594758472632724 |            >50 |             1 |         1 |                     Amy Smith |     2018 | 2018-01-07 | 100594758472613969 |         Wicklow | 100594758472613969 | 100594758472615511 |    3 |         Jury |                                                        1 | 2018-01-07 |     Phone
